synthetic_index,synthetic_identifier,authentic,nearest_training_index,nearest_training_identifier,synthetic_nearest_distance,training_nn_radius
0,conditional_ddpm_v3_0000.nii.gz,True,883,BraTS-GLI-00506-000,11.250780991991936,5.293733373256965
1,conditional_ddpm_v3_0001.nii.gz,True,974,BraTS-GLI-01155-000,12.786288220903458,8.119986948527345
2,conditional_ddpm_v3_0002.nii.gz,True,292,BraTS-GLI-00032-000,8.975257504826626,8.629450153753266
3,conditional_ddpm_v3_0003.nii.gz,True,125,BraTS-GLI-00070-000,10.077772525670648,7.738446957943476
4,conditional_ddpm_v3_0004.nii.gz,True,288,BraTS-GLI-01389-000,9.383441101966746,6.9423989689923085
5,conditional_ddpm_v3_0005.nii.gz,False,61,BraTS-GLI-00558-000,7.976077714491623,9.65390234332316
6,conditional_ddpm_v3_0006.nii.gz,True,683,BraTS-GLI-00036-001,8.720546932669242,7.975253525191843
7,conditional_ddpm_v3_0007.nii.gz,True,738,BraTS-GLI-00052-000,9.295581236103617,8.388979647189055
8,conditional_ddpm_v3_0008.nii.gz,True,856,BraTS-GLI-00751-000,8.010883448422412,6.447031689910758
9,conditional_ddpm_v3_0009.nii.gz,True,43,BraTS-GLI-00698-000,8.036980190477353,5.7512024919101234
10,conditional_ddpm_v3_0010.nii.gz,False,529,BraTS-GLI-00655-001,7.3851286302165935,7.398185360330349
11,conditional_ddpm_v3_0011.nii.gz,True,43,BraTS-GLI-00698-000,8.49681764487326,5.7512024919101234
12,conditional_ddpm_v3_0012.nii.gz,True,782,BraTS-GLI-01211-000,15.963132132002555,9.265334743994373
13,conditional_ddpm_v3_0013.nii.gz,True,634,BraTS-GLI-00328-000,12.722167198459166,9.11324830571527
14,conditional_ddpm_v3_0014.nii.gz,False,172,BraTS-GLI-01663-000,7.47524560422226,8.03188084319579
15,conditional_ddpm_v3_0015.nii.gz,True,595,BraTS-GLI-01049-000,8.755473776942322,4.8842028621542
16,conditional_ddpm_v3_0016.nii.gz,True,571,BraTS-GLI-00072-000,9.616212905022696,5.438514198093239
17,conditional_ddpm_v3_0017.nii.gz,False,652,BraTS-GLI-00053-001,8.433267395669246,9.247470791923496
18,conditional_ddpm_v3_0018.nii.gz,True,556,BraTS-GLI-00464-001,9.456708583863598,4.2736724487295445
19,conditional_ddpm_v3_0019.nii.gz,True,469,BraTS-GLI-00019-000,8.022272927494194,4.875912427221528
20,conditional_ddpm_v3_0020.nii.gz,True,82,BraTS-GLI-01391-000,14.542725238276526,11.979971041111943
21,conditional_ddpm_v3_0021.nii.gz,True,892,BraTS-GLI-00103-000,10.357468264222435,7.59931392742042
22,conditional_ddpm_v3_0022.nii.gz,True,991,BraTS-GLI-00425-000,9.247039542455175,8.177177068976128
23,conditional_ddpm_v3_0023.nii.gz,True,855,BraTS-GLI-00744-000,8.535518917623996,4.240232444908606
24,conditional_ddpm_v3_0024.nii.gz,True,652,BraTS-GLI-00053-001,9.982564973945033,9.247470791923496
25,conditional_ddpm_v3_0025.nii.gz,True,720,BraTS-GLI-00214-000,15.391901766122682,5.554310255445891
26,conditional_ddpm_v3_0026.nii.gz,True,125,BraTS-GLI-00070-000,11.148377098017663,7.738446957943476
27,conditional_ddpm_v3_0027.nii.gz,True,927,BraTS-GLI-01019-000,7.652786108673652,4.2606696013039285
28,conditional_ddpm_v3_0028.nii.gz,True,770,BraTS-GLI-00819-000,9.178102697681073,7.061528681145508
29,conditional_ddpm_v3_0029.nii.gz,True,738,BraTS-GLI-00052-000,9.322824418014063,8.388979647189055
30,conditional_ddpm_v3_0030.nii.gz,True,927,BraTS-GLI-01019-000,5.35640188943178,4.2606696013039285
31,conditional_ddpm_v3_0031.nii.gz,True,720,BraTS-GLI-00214-000,11.376936697267425,5.554310255445891
32,conditional_ddpm_v3_0032.nii.gz,False,172,BraTS-GLI-01663-000,6.329844001380456,8.03188084319579
33,conditional_ddpm_v3_0033.nii.gz,True,70,BraTS-GLI-01117-000,9.713193489451388,6.67589820553627
34,conditional_ddpm_v3_0034.nii.gz,True,102,BraTS-GLI-00568-000,6.783198086607292,5.150180698565712
35,conditional_ddpm_v3_0035.nii.gz,True,540,BraTS-GLI-00017-000,12.216029910881668,9.43999945003867
36,conditional_ddpm_v3_0036.nii.gz,True,87,BraTS-GLI-01106-000,8.420275754128056,7.621050376574811
37,conditional_ddpm_v3_0037.nii.gz,True,652,BraTS-GLI-00053-001,11.12618286434227,9.247470791923496
38,conditional_ddpm_v3_0038.nii.gz,True,154,BraTS-GLI-00400-000,11.067465069689115,10.561103589173165
39,conditional_ddpm_v3_0039.nii.gz,True,216,BraTS-GLI-01160-000,9.565711970495567,5.7512024919101234
40,conditional_ddpm_v3_0040.nii.gz,True,979,BraTS-GLI-01482-000,7.511603218049999,4.388134572129822
41,conditional_ddpm_v3_0041.nii.gz,True,991,BraTS-GLI-00425-000,11.307845913570324,8.177177068976128
42,conditional_ddpm_v3_0042.nii.gz,True,691,BraTS-GLI-01532-000,10.98833449636747,9.862648372624564
43,conditional_ddpm_v3_0043.nii.gz,True,808,BraTS-GLI-00580-000,9.282793204217587,5.588571708203965
44,conditional_ddpm_v3_0044.nii.gz,True,594,BraTS-GLI-01100-000,13.770655130086498,8.828076214842786
45,conditional_ddpm_v3_0045.nii.gz,True,842,BraTS-GLI-00760-000,10.339939097310847,5.459160714065043
46,conditional_ddpm_v3_0046.nii.gz,True,691,BraTS-GLI-01532-000,10.85915510996157,9.862648372624564
47,conditional_ddpm_v3_0047.nii.gz,True,70,BraTS-GLI-01117-000,10.132292289107435,6.67589820553627
48,conditional_ddpm_v3_0048.nii.gz,True,927,BraTS-GLI-01019-000,7.744887868871193,4.2606696013039285
49,conditional_ddpm_v3_0049.nii.gz,True,288,BraTS-GLI-01389-000,7.975112181276178,6.9423989689923085
50,conditional_ddpm_v3_0050.nii.gz,False,683,BraTS-GLI-00036-001,7.819020430417269,7.975253525191843
51,conditional_ddpm_v3_0051.nii.gz,True,308,BraTS-GLI-00513-000,10.39030771555985,6.8058606707260605
52,conditional_ddpm_v3_0052.nii.gz,False,691,BraTS-GLI-01532-000,7.722359969512391,9.862648372624564
53,conditional_ddpm_v3_0053.nii.gz,True,102,BraTS-GLI-00568-000,8.418396789439278,5.150180698565712
54,conditional_ddpm_v3_0054.nii.gz,True,125,BraTS-GLI-00070-000,7.927982685152093,7.738446957943476
55,conditional_ddpm_v3_0055.nii.gz,True,102,BraTS-GLI-00568-000,7.28038624382997,5.150180698565712
56,conditional_ddpm_v3_0056.nii.gz,True,43,BraTS-GLI-00698-000,11.013805657785975,5.7512024919101234
57,conditional_ddpm_v3_0057.nii.gz,True,738,BraTS-GLI-00052-000,9.45839402600941,8.388979647189055
58,conditional_ddpm_v3_0058.nii.gz,True,683,BraTS-GLI-00036-001,9.483420289722094,7.975253525191843
59,conditional_ddpm_v3_0059.nii.gz,False,87,BraTS-GLI-01106-000,7.406956173151752,7.621050376574811
60,conditional_ddpm_v3_0060.nii.gz,True,236,BraTS-GLI-00116-000,12.679697024145579,7.061528681145508
61,conditional_ddpm_v3_0061.nii.gz,True,945,BraTS-GLI-00032-001,7.530867059956158,5.425796501704689
62,conditional_ddpm_v3_0062.nii.gz,True,588,BraTS-GLI-00598-000,9.433095447244215,6.891678192942716
63,conditional_ddpm_v3_0063.nii.gz,True,940,BraTS-GLI-00683-000,8.330448249144888,4.905802252302844
64,conditional_ddpm_v3_0064.nii.gz,True,652,BraTS-GLI-00053-001,9.876612577935362,9.247470791923496
65,conditional_ddpm_v3_0065.nii.gz,True,991,BraTS-GLI-00425-000,9.326188383654268,8.177177068976128
66,conditional_ddpm_v3_0066.nii.gz,True,292,BraTS-GLI-00032-000,11.056934186132255,8.629450153753266
67,conditional_ddpm_v3_0067.nii.gz,True,991,BraTS-GLI-00425-000,9.603951028042527,8.177177068976128
68,conditional_ddpm_v3_0068.nii.gz,True,13,BraTS-GLI-00683-001,9.692602863541811,5.266584969583746
69,conditional_ddpm_v3_0069.nii.gz,True,126,BraTS-GLI-00071-000,13.974112169613402,6.742299054697483
70,conditional_ddpm_v3_0070.nii.gz,False,691,BraTS-GLI-01532-000,7.523420922664877,9.862648372624564
71,conditional_ddpm_v3_0071.nii.gz,True,892,BraTS-GLI-00103-000,9.243624960835831,7.59931392742042
72,conditional_ddpm_v3_0072.nii.gz,True,468,BraTS-GLI-00209-000,12.85343209511615,10.541938104750152
73,conditional_ddpm_v3_0073.nii.gz,True,151,BraTS-GLI-00003-000,10.009629607865834,9.522441832947917
74,conditional_ddpm_v3_0074.nii.gz,True,125,BraTS-GLI-00070-000,9.720186899031217,7.738446957943476
75,conditional_ddpm_v3_0075.nii.gz,True,905,BraTS-GLI-00286-000,10.439505665535593,6.18304461090266
76,conditional_ddpm_v3_0076.nii.gz,False,683,BraTS-GLI-00036-001,7.3802796472583045,7.975253525191843
77,conditional_ddpm_v3_0077.nii.gz,True,308,BraTS-GLI-00513-000,9.321755735856843,6.8058606707260605
78,conditional_ddpm_v3_0078.nii.gz,True,683,BraTS-GLI-00036-001,9.339044105532695,7.975253525191843
79,conditional_ddpm_v3_0079.nii.gz,True,532,BraTS-GLI-00823-000,8.470673700872844,5.90330369638433
80,conditional_ddpm_v3_0080.nii.gz,True,102,BraTS-GLI-00568-000,8.257917787907946,5.150180698565712
81,conditional_ddpm_v3_0081.nii.gz,True,761,BraTS-GLI-00036-000,16.556941978569693,12.020451918503948
82,conditional_ddpm_v3_0082.nii.gz,False,172,BraTS-GLI-01663-000,7.959623417585597,8.03188084319579
83,conditional_ddpm_v3_0083.nii.gz,True,540,BraTS-GLI-00017-000,16.164733216609914,9.43999945003867
84,conditional_ddpm_v3_0084.nii.gz,True,991,BraTS-GLI-00425-000,9.20977939747772,8.177177068976128
85,conditional_ddpm_v3_0085.nii.gz,True,529,BraTS-GLI-00655-001,9.001781941952055,7.398185360330349
86,conditional_ddpm_v3_0086.nii.gz,True,738,BraTS-GLI-00052-000,11.056109783598268,8.388979647189055
87,conditional_ddpm_v3_0087.nii.gz,True,330,BraTS-GLI-00499-001,9.007333842005409,7.5967488333318745
88,conditional_ddpm_v3_0088.nii.gz,True,288,BraTS-GLI-01389-000,9.160891478926905,6.9423989689923085
89,conditional_ddpm_v3_0089.nii.gz,True,529,BraTS-GLI-00655-001,11.423577068322748,7.398185360330349
90,conditional_ddpm_v3_0090.nii.gz,True,683,BraTS-GLI-00036-001,8.71925022711403,7.975253525191843
91,conditional_ddpm_v3_0091.nii.gz,True,529,BraTS-GLI-00655-001,13.22230381846595,7.398185360330349
92,conditional_ddpm_v3_0092.nii.gz,True,150,BraTS-GLI-01079-000,12.635794807350589,9.362284075088317
93,conditional_ddpm_v3_0093.nii.gz,True,571,BraTS-GLI-00072-000,8.449487633209092,5.438514198093239
94,conditional_ddpm_v3_0094.nii.gz,True,738,BraTS-GLI-00052-000,10.484052696918496,8.388979647189055
95,conditional_ddpm_v3_0095.nii.gz,True,765,BraTS-GLI-00483-001,8.020478543335386,5.730965090541215
96,conditional_ddpm_v3_0096.nii.gz,False,723,BraTS-GLI-00452-000,6.457406562089202,8.449644595833478
97,conditional_ddpm_v3_0097.nii.gz,True,70,BraTS-GLI-01117-000,11.338629835468863,6.67589820553627
98,conditional_ddpm_v3_0098.nii.gz,True,277,BraTS-GLI-01664-000,14.19643147378492,7.7262905908610895
99,conditional_ddpm_v3_0099.nii.gz,True,738,BraTS-GLI-00052-000,10.321392860965634,8.388979647189055
