synthetic_index,synthetic_identifier,authentic,nearest_training_index,nearest_training_identifier,synthetic_nearest_distance,training_nn_radius
0,conditional_ldm_v4_0000.nii.gz,True,190,BraTS-GLI-00078-000,9.175863844607889,5.293733373256965
1,conditional_ldm_v4_0001.nii.gz,False,797,BraTS-GLI-00557-000,7.219270847250753,7.493896641410719
2,conditional_ldm_v4_0002.nii.gz,True,739,BraTS-GLI-00231-000,6.451022303608125,6.347538842372778
3,conditional_ldm_v4_0003.nii.gz,True,843,BraTS-GLI-00002-000,7.028157364240735,7.010652226467784
4,conditional_ldm_v4_0004.nii.gz,True,302,BraTS-GLI-00090-000,7.866661722638016,6.45449833548234
5,conditional_ldm_v4_0005.nii.gz,True,848,BraTS-GLI-00549-001,7.50700056788942,5.865818562585686
6,conditional_ldm_v4_0006.nii.gz,False,343,BraTS-GLI-00799-000,5.7806439799863005,6.7820848027149045
7,conditional_ldm_v4_0007.nii.gz,True,55,BraTS-GLI-01665-000,7.711293078981894,5.588571708203965
8,conditional_ldm_v4_0008.nii.gz,False,311,BraTS-GLI-01004-000,8.758342257774943,10.247428081597885
9,conditional_ldm_v4_0009.nii.gz,True,525,BraTS-GLI-00334-000,6.8643858933905495,6.476577835271548
10,conditional_ldm_v4_0010.nii.gz,False,130,BraTS-GLI-00668-000,7.610736806013721,7.738446957943476
11,conditional_ldm_v4_0011.nii.gz,False,941,BraTS-GLI-01319-000,5.9667285341641785,7.660778357801457
12,conditional_ldm_v4_0012.nii.gz,False,437,BraTS-GLI-00143-000,13.437174543608227,25.312397288619586
13,conditional_ldm_v4_0013.nii.gz,True,886,BraTS-GLI-01326-000,6.761248061613295,5.441311754147889
14,conditional_ldm_v4_0014.nii.gz,True,29,BraTS-GLI-01481-000,4.901943499637249,4.707905571929421
15,conditional_ldm_v4_0015.nii.gz,True,706,BraTS-GLI-01033-000,6.331857395249026,6.025614614648507
16,conditional_ldm_v4_0016.nii.gz,True,572,BraTS-GLI-01283-000,10.634180961483848,8.716231451862635
17,conditional_ldm_v4_0017.nii.gz,True,633,BraTS-GLI-00056-000,7.889940788819275,5.434185162607779
